object_id,shape,admin3_pcode,shape_length,shape_area,location
179,Polygon,TH670109,0.560066,0.007136,"Thailand, Phetchabun, Mueang Phetchabun, Ban Khok"
180,Polygon,TH530708,0.398182,0.00422,"Thailand, Uttaradit, Phichai, Ban Khon"
181,Polygon,TH720910,0.621636,0.008146,"Thailand, Suphan Buri, U Thong, Ban Khong"
182,Polygon,TH700706,0.166369,0.000944,"Thailand, Ratchaburi, Photharam, Ban Khong"
183,Polygon,TH200103,0.054079,6.7e-05,"Thailand, Chon Buri, Mueang Chon Buri, Ban Khot"
184,Polygon,TH190608,0.155233,0.000965,"Thailand, Saraburi, Ban Mo, Ban Khrua"
185,Polygon,TH311302,0.336881,0.004408,"Thailand, Buri Ram, Na Pho, Ban Khu"
186,Polygon,TH860406,0.572362,0.008976,"Thailand, Chumphon, Lang Suan, Ban Khuan"
187,Polygon,TH910104,0.245281,0.001876,"Thailand, Satun, Mueang Satun, Ban Khuan"
188,Polygon,TH920105,0.188153,0.001188,"Thailand, Trang, Mueang Trang, Ban Khuan"
189,Polygon,TH801901,0.185635,0.000714,"Thailand, Nakhon Si Thammarat, Chulabhorn, Ban Khuan Mut"
190,Polygon,TH451806,0.21319,0.002051,"Thailand, Roi Et, Chiang Khwan, Ban Khueang"
191,Polygon,TH141510,0.164897,0.00093,"Thailand, Phra Nakhon Si Ayutthaya, Maha Rat, Ban Khwang"
192,Polygon,TH360201,0.500422,0.004954,"Thailand, Chaiyaphum, Ban Khwao, Ban Khwao"
193,Polygon,TH521004,0.523855,0.00633,"Thailand, Lampang, Mae Tha, Ban Kio"
194,Polygon,TH130103,0.142757,0.000813,"Thailand, Pathum Thani, Mueang Pathum Thani, Ban Klang"
195,Polygon,TH480109,0.342944,0.003076,"Thailand, Nakhon Phanom, Mueang Nakhon Phanom, Ban Klang"
196,Polygon,TH501207,0.233714,0.001573,"Thailand, Chiang Mai, San Pa Tong, Ban Klang"
197,Polygon,TH510112,0.283308,0.001599,"Thailand, Lamphun, Mueang Lamphun, Ban Klang"
